Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,49243,2,aclnnArgMax_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774497535428633.256	,1.380,0.010000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,1541,0.026,0.03,0.25,0.292,0.084,0.099,0.105,0.123,0.197,0.000
0,4294967295,49244,2,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774497535428634.656	,1.600,0.120000,1,0,NO,"""1""",INT64,ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063,1913,0.064,0.06,0.328,0.309,0.098,0.093,0.119,0.112,0.157,0.000
0,4294967295,49250,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774497535428650.076	,1.900,13.650000,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,2431,0.028,0.021,0.391,0.29,0.112,0.083,0.112,0.083,0.167,0.000
0,4294967295,49253,2,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774497535428656.256	,1.760,4.350000,1,0,NO,"""1;""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.199,2158,0.026,0.021,0.309,0.258,0.184,0.154,0.127,0.106,0.213,0.000
0,4294967295,49255,2,aclnnIndex_IndexAiCore_Index,Index,dynamic,AI_VECTOR_CORE,1774497535428661.456	,10.560,3.490000,48,0,NO,"""163840,64;1;2;1""",DT_BF16;INT64;INT64;INT64,ND;ND;ND;ND,"""1,64""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.743,496179,0.008,0.001,0.476,0.083,0.423,0.074,0.003,0.0,0.331,0.000
0,4294967295,49256,2,aclnnIndex_IndexAiCore_Index,Index,dynamic,AI_VECTOR_CORE,1774497535428672.036	,7.680,0.000000,48,0,NO,"""163840,64;1;2;1""",DT_BF16;INT64;INT64;INT64,ND;ND;ND;ND,"""1,64""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.273,369218,0.008,0.002,1.398,0.327,2.745,0.642,0.004,0.001,0.122,0.000
0,4294967295,49260,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774497535428680.816	,1.420,1.070000,1,0,NO,"""1;""",INT64;BOOL,ND;ND,"""1""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,1500,0.039,0.047,0.345,0.414,0.089,0.107,0.091,0.109,0.145,0.000
0,4294967295,49262,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774497535428682.816	,1.380,0.580000,1,0,NO,"""1;""",INT64;BOOL,ND;ND,"""1""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793,1427,0.039,0.05,0.377,0.475,0.113,0.142,0.091,0.115,0.19,0.000
0,4294967295,49263,2,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774497535428684.216	,1.480,0.120000,1,0,NO,"""1""",BOOL,ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.804,1448,0.04,0.05,0.268,0.334,0.081,0.101,0.078,0.097,0.25,0.000
0,4294967295,49264,2,aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1774497535428685.716	,1.500,0.020000,1,0,NO,"""1;1""",INT32;INT64,ND;ND,"""7""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1620,0.034,0.038,0.337,0.374,0.082,0.091,0.099,0.11,0.146,0.000
0,4294967295,49265,2,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774497535428687.236	,1.400,0.000000,1,0,NO,"""7""",INT32,ND,"""7""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934,1682,0.089,0.095,0.277,0.297,0.094,0.1,0.09,0.096,0.191,0.000
0,4294967295,49266,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774497535428848.392	,2.060,159.850000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.592,2866,0.049,0.031,0.401,0.252,0.114,0.072,0.459,0.289,0.22,0.000
0,4294967295,49267,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774497535428961.630	,1.640,111.190000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.148,2066,0.049,0.043,0.262,0.228,0.082,0.071,0.424,0.369,0.228,0.000
0,3,0,139,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,CastAiCore,static,AI_VECTOR_CORE,1774497535428968.830	,1.180,5.360000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686,1235,0.026,0.038,0.238,0.347,0.176,0.257,0.087,0.126,0.173,0.000
0,3,1,139,GreaterEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_210000000,GreaterEqual,static,AI_VECTOR_CORE,1774497535428970.030	,3.180,0.070000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.661,4789,0.58,0.218,0.508,0.191,0.178,0.067,0.094,0.035,0.161,0.000
0,3,2,139,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,CastAiCore,static,AI_VECTOR_CORE,1774497535428973.230	,1.160,0.070000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,1140,0.026,0.041,0.256,0.404,0.097,0.153,0.091,0.144,0.136,0.000
0,3,3,139,Less_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_210000000,LessAiCore,static,AI_VECTOR_CORE,1774497535428974.410	,3.200,0.090000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.661,4790,0.561,0.211,0.66,0.248,0.167,0.063,0.107,0.04,0.17,0.000
0,3,4,139,LogicalAnd_91d2a3cdd75d915a368582ec5f440af1_high_performance_210000000,LogicalAndAiCore,static,AI_VECTOR_CORE,1774497535428977.630	,1.800,0.050000,1,0,NO,"""1;1""",BOOL;BOOL,ND;ND,"""1""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.259,2266,0.068,0.054,0.259,0.206,0.199,0.158,0.105,0.083,0.117,0.000
0,3,5,139,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,CastAiCore,static,AI_VECTOR_CORE,1774497535428979.450	,1.560,0.000000,1,0,NO,"""1""",BOOL,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,1794,0.052,0.052,0.454,0.456,0.092,0.093,0.087,0.087,0.155,0.000
0,3,6,139,Mul_41dadce325b0f810d03359af2a38990b_high_performance_210000000,MulAiCore,static,AI_VECTOR_CORE,1774497535428981.030	,2.320,0.000000,1,0,NO,"""1;""",INT64;INT64,ND;ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768,3183,0.09,0.051,0.574,0.325,0.383,0.216,0.12,0.068,0.154,0.000
0,3,7,139,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,CastAiCore,static,AI_VECTOR_CORE,1774497535428983.370	,1.400,0.000000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.832,1498,0.026,0.031,0.445,0.535,0.106,0.127,0.104,0.125,0.138,0.000
0,3,8,139,Sub_41dadce325b0f810d03359af2a38990b_high_performance_210000000,SubAiCore,static,AI_VECTOR_CORE,1774497535428984.790	,2.680,0.100000,1,0,NO,"""1;1""",INT64;INT64,ND;ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.085,3753,0.293,0.14,0.667,0.32,0.189,0.091,0.122,0.058,0.211,0.000
