Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,11,30,214,SparseFlashAttention_4da5fbfbea7101b99c367715f4b4a51e_578,SparseFlashAttention,static,MIX_AIC,1779269392766967.320	,88.000,2.430000,24,0,NO,"""3,16,512;1765,128,1,512;1765,128,1,512;3,1,2048;1,1584;1;1;3,16,64;1765,128,1,64""",DT_BF16;DT_BF16;DT_BF16;INT32;INT32;INT32;INT32;DT_BF16;DT_BF16,ND;ND;ND;ND;ND;ND;ND;ND;ND,"""3,16,512""",DT_BF16,ND,0,22.912,989812,1.274,0.056,7.84,0.342,3.498,0.153,4.969,0.217,4.68,0.204,0.058,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.037
0,4294967295,31,214,batch_matmul_transpose_0,batch_matmul_transpose_0,N/A,AI_CORE,1779269392767056.360	,9.860,1.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,235902,0.0,0.065,0.0,0.204,0.0,0.151,0.0,0.48,0.0,0.019,0.102,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.382
0,11,32,214,AscendQuantV2_f274b680d61d2eebf49e6d885bbfe67a_high_performance_0,AscendQuantV2Aicore,static,AI_VECTOR_CORE,1779269392767066.260	,11.980,0.140000,48,0,NO,"""3,4096;4096;4096""",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"""3,4096""",INT8,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.501,648128,0.154,0.021,2.484,0.331,0.973,0.13,0.153,0.02,0.17,0.000
0,11,33,214,QuantBatchMatmulV3_ND_NZ_int8_int8_fp32_bf16_high_performance_0,QuantBatchMatmulV3,static,MIX_AIC,1779269392767079.640	,29.580,1.520000,24,24,NO,"""3,4096;192,256,16,32;6144;6144""",INT8;INT8;FLOAT;INT32,ND;FRACTAL_NZ;ND;ND,"""3,6144""",DT_BF16,ND,0,26.628,1150319,2.145,0.081,16.931,0.636,6.808,0.256,15.0,0.563,0.166,0.006,0.023,26.29,1135714,0.108,0.004,4.063,0.155,1.512,0.057,0.542,0.021,0.16,90.019
0,4294967295,8,215,AivKernel,hcom_allReduce_,static,COMMUNICATION,1779269392767110.940	,15.820,1.670000,4,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.367,81842,0.022,0.002,2.909,0.256,7.097,0.624,0.556,0.049,0.146,0.000
0,4294967295,N/A,N/A,hcom_allReduce__360_1_21,hcom_allReduce_,N/A,COMMUNICATION,1779269392767110.940	,15.820,0.000000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,11,37,214,AddRmsNormDynamicQuant_bf16_high_performance_1,AddRmsNormDynamicQuantAiCore,static,AI_VECTOR_CORE,1779269392767128.020	,6.220,1.180000,3,0,NO,"""3,6144;3,6144;6144;6144""",DT_BF16;DT_BF16;DT_BF16;DT_BF16,ND;ND;ND;ND,"""3,6144;3,6144;3,6144;3;3""",INT8;INT8;DT_BF16;FLOAT;FLOAT,ND;ND;ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.604,30262,2.288,0.408,2.148,0.383,0.82,0.146,0.459,0.082,0.144,0.000
0,11,38,214,QuantBatchMatmulV3_ND_NZ_int8_int8_bf16_high_performance_24,QuantBatchMatmulV3,static,MIX_AIC,1779269392767135.560	,40.520,1.280000,24,24,NO,"""3,6144;192,384,16,32;6144;3""",INT8;INT8;DT_BF16;FLOAT,ND;FRACTAL_NZ;ND;ND,"""3,6144""",DT_BF16,ND,0,36.755,1587837,3.218,0.088,17.135,0.466,10.003,0.272,24.498,0.667,0.163,0.004,0.02,37.593,1624034,0.168,0.004,3.155,0.084,2.999,0.08,0.137,0.004,0.121,90.709
0,11,39,214,SwiGlu_3_high_performance_27,SwiGlu,static,AI_VECTOR_CORE,1779269392767177.300	,4.640,1.230000,1,0,NO,"""3,6144""",DT_BF16,ND,"""3,3072""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.123,7421,1.176,0.285,1.664,0.404,0.664,0.161,0.181,0.044,0.174,0.000
0,11,40,214,DynamicQuant_bf16_c1_high_performance_2,DynamicQuant,static,AI_VECTOR_CORE,1779269392767181.980	,5.740,0.110000,3,0,NO,"""3,3072""",DT_BF16,ND,"""3,3072;3""",INT8;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.044,27235,0.421,0.083,1.519,0.301,0.337,0.067,0.147,0.029,0.218,0.000
