Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,44273,2,aclnnArgMax_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774442670965559.192	,1.300,0.130000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782,1407,0.026,0.033,0.261,0.334,0.098,0.125,0.109,0.14,0.203,0.000
0,4294967295,44274,2,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774442670965560.512	,1.520,0.000000,1,0,NO,"""1""",INT64,ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,1780,0.064,0.065,0.306,0.31,0.109,0.11,0.113,0.115,0.18,0.000
0,4294967295,44280,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774442670965575.770	,1.700,13.730000,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""256""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.169,2105,0.03,0.026,0.381,0.326,0.109,0.093,0.324,0.277,0.2,0.000
0,4294967295,44283,2,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774442670965581.490	,1.480,4.050000,1,0,NO,"""1;""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941,1694,0.026,0.027,0.307,0.326,0.199,0.211,0.115,0.122,0.2,0.000
0,4294967295,44285,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774442670965586.450	,1.380,3.520000,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""15""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823,1481,0.032,0.038,0.379,0.461,0.116,0.141,0.087,0.106,0.173,0.000
0,4294967295,44286,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774442670965587.850	,2.000,0.000000,8,0,NO,"""2;""",INT64;INT32,ND;ND,"""15,512""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.181,17007,0.036,0.031,0.315,0.266,0.109,0.092,0.145,0.123,0.192,0.000
0,4294967295,44289,2,aclnnIndexSelect_GatherV3AiCore_GatherV3,GatherV3,dynamic,AI_VECTOR_CORE,1774442670965593.130	,5.620,3.500000,16,0,NO,"""81920,128;16;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""16,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.863,111254,0.016,0.004,1.487,0.385,0.796,0.206,0.127,0.033,0.175,0.000
0,4294967295,44290,2,aclnnRepeat_TileAiCore_Tile,Tile,dynamic,AI_VECTOR_CORE,1774442670965598.770	,7.860,0.000000,32,0,NO,"""16,2,64;3""",DT_BF16;INT64,NCL;ND,"""16,2,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.721,271907,0.07,0.015,0.42,0.089,0.094,0.02,0.116,0.025,0.195,0.000
0,4294967295,44291,2,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1774442670965606.650	,2.760,0.140000,8,0,NO,"""16,256;2;2""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""16,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.782,25663,0.008,0.004,0.359,0.201,0.104,0.058,0.177,0.099,0.228,0.000
0,4294967295,44292,2,aclnnIndexSelect_GatherV3AiCore_GatherV3,GatherV3,dynamic,AI_VECTOR_CORE,1774442670965609.430	,4.380,0.000000,16,0,NO,"""81920,128;16;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""16,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.727,78536,0.016,0.006,1.601,0.587,0.856,0.314,0.125,0.046,0.091,0.000
