Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,42530,2,aclnnArgMax_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774441597735090.778	,1.260,0.000000,1,0,NO,"""1""",INT32,ND,"""1""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,1346,0.026,0.035,0.261,0.348,0.098,0.132,0.119,0.16,0.241,0.000
0,4294967295,42531,2,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1774441597735092.058	,1.540,0.000000,1,0,NO,"""1""",INT64,ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,1829,0.064,0.063,0.301,0.296,0.098,0.097,0.121,0.119,0.188,0.000
0,4294967295,42542,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774441597872491.232	,1.700,137397.710000,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""256""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.176,2117,0.03,0.026,0.368,0.313,0.105,0.089,0.315,0.268,0.176,0.000
0,4294967295,42545,2,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1774441597872654.090	,1.620,161.050000,1,0,NO,"""1;""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,1944,0.026,0.024,0.392,0.363,0.226,0.209,0.119,0.11,0.155,0.000
0,4294967295,42547,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774441597872977.984	,1.440,322.380000,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948,1707,0.028,0.03,0.363,0.383,0.104,0.11,0.103,0.109,0.167,0.000
0,4294967295,42548,2,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1774441597872981.344	,1.500,1.810000,1,0,NO,"""2;""",INT64;INT32,ND;ND,"""1,512""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012,1822,0.032,0.032,0.379,0.374,0.112,0.11,0.152,0.15,0.176,0.000
0,4294967295,42551,2,aclnnIndexSelect_GatherV3AiCore_GatherV3,GatherV3,dynamic,AI_VECTOR_CORE,1774441597873627.230	,15.380,644.500000,48,0,NO,"""81920,128;4112;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""4112,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.288,975274,0.016,0.001,4.518,0.4,4.368,0.387,0.344,0.03,0.036,0.000
0,4294967295,42552,2,aclnnRepeat_TileAiCore_Tile,Tile,dynamic,AI_VECTOR_CORE,1774441597873642.650	,14.140,0.120000,48,0,NO,"""4112,2,64;3""",DT_BF16;INT64,NCL;ND,"""4112,2,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.344,893739,0.492,0.048,0.638,0.062,1.424,0.138,1.219,0.118,0.193,0.000
0,4294967295,42553,2,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1774441597873704.988	,4.860,48.110000,12,0,NO,"""4112,256;2;2""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""4112,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.416,73783,0.008,0.002,0.416,0.122,0.773,0.226,0.775,0.227,0.217,0.000
0,4294967295,42554,2,aclnnIndexSelect_GatherV3AiCore_GatherV3,GatherV3,dynamic,AI_VECTOR_CORE,1774441597873709.868	,11.400,0.000000,48,0,NO,"""81920,128;4112;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""4112,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.612,830519,0.016,0.002,6.618,0.688,5.504,0.573,0.212,0.022,0.0,0.000
